"","rok","sport","disciplina","medaile","stat","jmena","vysledek"
"746","1998","Cross Country Skiing","5km","stříbro","CZE","Katerina NEUMANNOVA","17:42.7"
"747","1998","Cross Country Skiing","5km","bronz","NOR","Bente SKARI","17:49.4"
"748","1998","Cross Country Skiing","30km","zlato","RUS","Julija TCHEPALOVA","1h22:01.5"
"749","1998","Cross Country Skiing","30km","stříbro","ITA","Stefania BELMONDO","1:22:11.7"
"750","1998","Cross Country Skiing","30km","bronz","RUS","Larissa LAZUTINA","1h23:15.7"
"751","1998","Cross Country Skiing","50km","zlato","NOR","Björn DAEHLIE","2h05:08.2"
"752","1998","Cross Country Skiing","50km","stříbro","SWE","Niklas JONSSON","2h05:16.3"
"753","1998","Cross Country Skiing","50km","bronz","AUT","Christian HOFFMANN","2h06:01.8"
"754","1998","Cross Country Skiing","4x5km Relay","zlato","RUS","Nina GAVRILJUK
Olga DANILOVA
Elena VAELBE
Larissa LAZUTINA","55:13.5"
"755","1998","Cross Country Skiing","4x5km Relay","stříbro","NOR","Elin NILSEN
Marit MIKKELSPLASS
Anita MOEN
Bente SKARI","55:38.0"
"756","1998","Cross Country Skiing","4x5km Relay","bronz","ITA","Stefania BELMONDO
Manuela DI CENTA
Karin MORODER
Gabriella PARUZZI","56:53.3"
"757","1998","Cross Country Skiing","4x10km Relay","zlato","NOR","Thomas ALSGAARD
Sture SIVERTSEN
Erling JEVNE
Björn DAEHLIE","1h40:55.7"
"758","1998","Cross Country Skiing","4x10km Relay","stříbro","ITA","Silvio FAUNER
Fabio MAY
Marco ALBARELLO
Fulvio VALBUSA","1h40:55.9"
"759","1998","Cross Country Skiing","4x10km Relay","bronz","FIN","Sami REPO
Jari ISOMETSA
Mika MYLLYLAE
Harri KIRVESNIEMI","1h42:15.5"
"760","1998","Cross Country Skiing","10km Pursuit","zlato","NOR","Björn DAEHLIE","27:24.5"
"761","1998","Cross Country Skiing","10km Pursuit","stříbro","AUT","Markus GANDLER","27:32.5"
"762","1998","Cross Country Skiing","10km Pursuit","bronz","FIN","Mika MYLLYLAE","27:40.1"
"763","1998","Cross Country Skiing","Combined 5km + 10km Pursuit","zlato","RUS","Larissa LAZUTINA","46:06.9"
"764","1998","Cross Country Skiing","Combined 5km + 10km Pursuit","stříbro","RUS","Olga DANILOVA","46:13.4"
"765","1998","Cross Country Skiing","Combined 5km + 10km Pursuit","bronz","CZE","Katerina NEUMANNOVA","46:14.2"
"766","1998","Cross Country Skiing","Combined 10km + 15km Pursuit","zlato","NOR","Thomas ALSGAARD","1h07:01.7"
"767","1998","Cross Country Skiing","Combined 10km + 15km Pursuit","stříbro","NOR","Björn DAEHLIE","1h07:02.8"
"768","1998","Cross Country Skiing","Combined 10km + 15km Pursuit","bronz","KAZ","Vladimir SMIRNOV","1h07:31.5"
"769","1998","Cross Country Skiing","15km Mass Start","zlato","RUS","Olga DANILOVA","46:55.4"
"770","1998","Cross Country Skiing","15km Mass Start","stříbro","RUS","Larissa LAZUTINA","47:01.0"
"771","1998","Cross Country Skiing","15km Mass Start","bronz","NOR","Anita MOEN","47:52.6"
"772","1998","Cross Country Skiing","30km Mass Start","zlato","FIN","Mika MYLLYLAE","1h33:55.8"
"773","1998","Cross Country Skiing","30km Mass Start","stříbro","NOR","Erling JEVNE","1h35:27.1"
"774","1998","Cross Country Skiing","30km Mass Start","bronz","ITA","Silvio FAUNER","1h36:08.5"
"775","1998","Curling","Curling","zlato","SUI","Patrik LOERTSCHER
Diego PERREN
Patrick HUERLIMANN
Daniel MUELLER
Dominic ANDRES","0"
"776","1998","Curling","Curling","stříbro","CAN","George KARRYS
Mike HARRIS
Collin MITCHELL
Richard HART
Paul SAVAGE","0"
"777","1998","Curling","Curling","bronz","NOR","Eigil RAMSFJELL
Anthon GRIMSMO
Jan THORESEN
Tore TORVBRAATEN
Stig-Arne GUNNESTAD","0"
"778","1998","Curling","Curling","zlato","CAN","Sandra SCHMIRLER
Joan MCCUSKER
Marcia GUDEREIT
Atina FORD
Jan BETKER",""
"779","1998","Curling","Curling","stříbro","DEN","Margit POERTNER
Trine QVIST
Dorthe HOLM
Jane BIDSTRUP
Helena Blach LAVRSEN",""
"780","1998","Curling","Curling","bronz","SWE","Margaretha LINDAHL
Elisabet GUSTAFSON
Louise MARMONT
Katarina NYBERG
Elisabeth PERSSON",""
"781","1998","Freestyle Skiing","Moguls","zlato","USA","Jonny MOSELEY","26.93"
"782","1998","Freestyle Skiing","Moguls","stříbro","FIN","Janne LAHTELA","26.00"
